Series Description,Total reserve balances maintained; not seasonally adjusted,"Reserves of depository institutions, total; not seasonally adjusted","Reserves of depository institutions, required; not seasonally adjusted","Vault cash, total; not seasonally adjusted",Monetary base; total; not seasonally adjusted,Monetary base; total balances maintained; not seasonally adjusted,Monetary base; currency in circulation; not seasonally adjusted,Total borrowings from the Federal Reserve; not seasonally adjusted,"Borrowings from the Federal Reserve, seasonal; not seasonally adjusted","Reserves of depository institutions, nonborrowed; not seasonally adjusted"
1959-01,18889,18889,18392,2242,50463,18886,31573,552,0,18338
1959-02,18570,18570,18117,2079,49805,18576,31234,505,0,18065
1959-03,18431,18431,17971,2061,49733,18432,31301,599,0,17832
1959-04,18678,18678,18246,2082,50058,18678,31379,692,0,17986
1959-05,18552,18552,18131,2089,50112,18553,31559,741,0,17811
1959-06,18454,18454,18048,2168,50337,18455,31882,930,0,17525
1959-07,18683,18683,18267,2151,50802,18683,32119,961,0,17721
1959-08,18591,18591,18144,2155,50661,18592,32069,990,0,17601
1959-09,18622,18622,18180,2202,50722,18623,32099,927,0,17696
1959-10,18607,18607,18166,2172,50660,18608,32053,907,0,17700
1959-11,18612,18621,18177,2222,50877,18613,32264,859,0,17763
1959-12,18660,18956,18450,2408,51504,18661,32843,941,0,18015
1960-01,18537,18847,18333,2366,50661,18537,32123,887,0,17960
1960-02,17947,18213,17759,2205,49609,17948,31661,810,0,17403
1960-03,17776,18032,17609,2168,49482,17776,31706,641,0,17391
1960-04,17864,18124,17698,2188,49656,17864,31792,606,0,17518
1960-05,17938,18215,17770,2205,49734,17939,31795,496,0,17719
1960-06,18014,18307,17828,2246,50015,18015,32000,434,0,17873
1960-07,18204,18513,18013,2276,50455,18205,32250,379,0,18135
1960-08,18110,18500,17957,2275,50279,18110,32168,296,0,18204
1960-09,17688,18560,17933,2296,49920,17688,32232,215,0,18345
1960-10,17872,18762,18099,2329,50130,17873,32257,167,0,18595
1960-11,17717,18984,18242,2384,50251,17718,32533,133,0,18851
1960-12,16680,19262,18518,2581,49763,16681,33082,74,0,19188
1961-01,16718,19337,18565,2619,49103,16719,32384,66,0,19272
1961-02,16523,18961,18312,2438,48441,16523,31918,133,0,18828
1961-03,16445,18811,18265,2366,48362,16446,31916,70,0,18741
1961-04,16460,18884,18268,2424,48455,16460,31994,57,0,18827
1961-05,16419,18858,18302,2439,48494,16419,32075,95,0,18763
1961-06,16551,19021,18431,2469,48875,16552,32323,63,0,18958
1961-07,16557,19102,18486,2545,49216,16557,32658,54,0,19048
1961-08,16690,19195,18616,2506,49334,16691,32644,65,0,19130
1961-09,16804,19361,18781,2557,49599,16804,32794,38,0,19323
1961-10,17093,19687,19155,2594,50032,17094,32938,71,0,19617
1961-11,17172,19808,19217,2636,50484,17173,33311,98,0,19710
1961-12,17267,20131,19547,2864,51281,17268,34013,133,0,19998
1962-01,17192,20095,19473,2904,50603,17192,33411,87,0,20009
1962-02,16917,19571,19069,2654,49841,16917,32924,68,0,19503
1962-03,16951,19549,19077,2598,50024,16952,33072,89,0,19460
1962-04,17057,19716,19224,2658,50365,17058,33307,72,0,19644
1962-05,17149,19829,19312,2680,50543,17149,33393,61,0,19768
1962-06,17204,19923,19450,2719,50908,17205,33703,102,0,19821
1962-07,17257,20053,19519,2796,51314,17258,34056,92,0,19962
1962-08,17138,19883,19353,2745,51175,17139,34037,125,0,19759
1962-09,17236,20067,19577,2831,51322,17236,34086,81,0,19986
1962-10,17372,20198,19721,2826,51552,17373,34179,63,0,20136
1962-11,16702,19570,19013,2868,51344,16703,34641,120,0,19449
1962-12,16917,20054,19482,3137,52257,16918,35339,260,0,19794
1963-01,16937,20042,19537,3105,51635,16937,34698,146,0,19896
1963-02,16712,19568,19107,2856,51013,16713,34301,166,0,19403
1963-03,16701,19522,19088,2821,51206,16702,34505,148,0,19374
1963-04,16696,19607,19151,2911,51489,16697,34792,130,0,19478
1963-05,16760,19649,19219,2889,51702,16760,34941,210,0,19439
1963-06,16825,19770,19353,2945,52195,16826,35369,259,0,19511
1963-07,16952,19988,19533,3035,52768,16953,35814,298,0,19690
1963-08,16730,19705,19260,2976,52600,16730,35870,329,0,19376
1963-09,16887,19967,19539,3080,52910,16888,36022,319,0,19649
1963-10,16930,19989,19592,3059,53117,16931,36186,320,0,19669
1963-11,17037,20147,19706,3110,53775,17038,36737,349,0,19798
1963-12,17251,20702,20211,3451,54913,17252,37661,332,0,20369
1964-01,17285,20679,20239,3395,54238,17285,36952,274,0,20405
1964-02,17009,20150,19752,3140,53472,17010,36462,286,0,19864
1964-03,17151,20242,19856,3091,53830,17152,36678,278,0,19964
1964-04,17092,20255,19902,3162,54052,17093,36959,211,0,20043
1964-05,17096,20242,19888,3146,54273,17097,37176,260,0,19982
1964-06,17336,20545,20170,3209,54940,17337,37603,268,0,20277
1964-07,17417,20639,20264,3222,55426,17418,38008,263,0,20376
1964-08,17320,20579,20158,3259,55427,17321,38106,315,0,20264
1964-09,17593,20925,20494,3332,55887,17594,38293,345,0,20580
1964-10,17725,21023,20625,3299,56162,17726,38436,321,0,20702
1964-11,17801,21181,20774,3380,56786,17802,38984,400,0,20781
1964-12,17979,21596,21190,3617,57737,17980,39757,264,0,21332
1965-01,18007,21632,21217,3625,57138,18008,39130,300,0,21332
1965-02,17793,21201,20789,3408,56508,17793,38715,405,0,20796
1965-03,17848,21263,20898,3415,56696,17849,38847,411,0,20852
1965-04,18067,21497,21155,3430,57089,18068,39021,471,0,21025
1965-05,18043,21476,21142,3433,57165,18044,39121,495,0,20981
1965-06,18197,21720,21358,3523,57761,18197,39564,537,0,21183
1965-07,18329,21873,21521,3544,58407,18330,40078,528,0,21345
1965-08,18015,21581,21185,3566,58192,18016,40176,547,0,21034
1965-09,18160,21759,21349,3599,58574,18161,40413,554,0,21205
1965-10,18332,21984,21625,3651,59137,18333,40804,488,0,21496
1965-11,18201,21940,21588,3739,59614,18202,41413,432,0,21508
1965-12,18757,22694,22270,3936,61022,18758,42264,444,0,22250
1966-01,18813,22777,22398,3964,60520,18813,41706,420,0,22357
1966-02,18454,22205,21858,3750,59751,18455,41296,482,0,21723
1966-03,18468,22186,21844,3718,59933,18468,41464,560,0,21625
1966-04,18765,22529,22174,3764,60510,18765,41745,637,0,21892
1966-05,18708,22462,22121,3754,60631,18709,41923,687,0,21774
1966-06,18745,22562,22206,3818,61102,18745,42357,707,0,21855
1966-07,19170,23062,22684,3893,62064,19170,42894,741,0,22321
1966-08,18779,22678,22310,3899,61734,18780,42954,735,0,21943
1966-09,19286,23222,22851,3935,62359,19287,43072,769,0,22453
1966-10,19409,23373,23041,3965,62603,19409,43194,734,0,22639
1966-11,19207,23226,22841,4019,62993,19208,43785,607,0,22618
1966-12,19550,23785,23446,4235,64185,19551,44634,532,0,23252
1967-01,19762,24101,23698,4340,63850,19763,44087,410,0,23692
1967-02,19686,23720,23351,4034,63282,19687,43595,364,0,23357
1967-03,19419,23375,22961,3956,63166,19420,43746,200,0,23175
1967-04,19384,23411,23061,4027,63274,19384,43889,146,0,23265
1967-05,19246,23272,22908,4026,63382,19247,44135,89,0,23183
1967-06,19368,23456,23104,4088,64005,19369,44636,106,0,23351
1967-07,19745,23972,23554,4226,64821,19746,45074,115,0,23857
1967-08,19609,23764,23398,4155,64699,19610,45090,81,0,23683
1967-09,19957,24182,23839,4224,65225,19958,45267,89,0,24093
1967-10,20429,24666,24330,4236,65894,20430,45464,129,0,24537
1967-11,20445,24689,24331,4245,66453,20445,46007,132,0,24558
1967-12,20770,25291,24916,4521,67818,20771,47047,228,0,25064
1968-01,21177,25835,25448,4657,67698,21178,46520,246,0,25589
1968-02,21283,25598,25211,4315,67213,21283,45930,373,0,25225
1968-03,21315,25563,25226,4248,67521,21316,46206,659,0,24904
1968-04,21243,25623,25287,4380,67953,21244,46709,685,0,24938
1968-05,21148,25440,25080,4291,68077,21149,46928,741,0,24699
1968-06,21302,25684,25356,4382,68874,21303,47571,694,0,24990
1968-07,21556,26049,25698,4492,69700,21557,48143,527,0,25521
1968-08,21627,26019,25690,4392,69887,21627,48260,565,0,25454
1968-09,21502,26054,25692,4551,70048,21503,48545,504,0,25550
1968-10,22125,26638,26392,4512,70830,22126,48704,443,0,26195
